Depth,Temp,Sal,,,,,,,,,,,,,,,,,
530,9.34,35.11,,,,,,,,,,,,,,,,,
532,9.23,35.1,,,,,,,,,,,,,,,,,
534,9.13,35.08,,,,,,,,,,,,,,,,,
536,9.11,35.08,,,,,,,,,,,,,,,,,
538,9.1,35.08,,,,,,,,,,,,,,,,,
540,9.12,35.08,,,,,,,,,,,,,,,,,
542,9.1,35.08,,,,,,,,,,,,,,,,,
544,9.03,35.07,,,,,,,,,,,,,,,,,
546,8.97,35.06,,,,,,,,,,,,,,,,,
548,8.96,35.06,,,,,,,,,,,,,,,,,
550,8.94,35.06,,,,,,,,,,,,,,,,,
552,9.31,35.13,,,,,,,,,,,,,,,,,
554,9.29,35.13,,,,,,,,,,,,,,,,,
556,9.23,35.11,,,,,,,,,,,,,,,,,
558,9.23,35.11,,,,,,,,,,,,,,,,,
560,9,35.08,,,,,,,,,,,,,,,,,
562,9,35.08,,,,,,,,,,,,,,,,,
564,9.19,35.11,,,,,,,,,,,,,,,,,
566,9.19,35.12,,,,,,,,,,,,,,,,,
568,8.95,35.08,,,,,,,,,,,,,,,,,
570,8.92,35.08,,,,,,,,,,,,,,,,,
572,8.89,35.08,,,,,,,,,,,,,,,,,
574,9.11,35.1,,,,,,,,,,,,,,,,,
576,9.1,35.1,,,,,,,,,,,,,,,,,
578,9.1,35.1,,,,,,,,,,,,,,,,,
580,8.81,35.07,,,,,,,,,,,,,,,,,
582,8.78,35.07,,,,,,,,,,,,,,,,,
584,8.72,35.05,,,,,,,,,,,,,,,,,
586,8.72,35.05,,,,,,,,,,,,,,,,,
588,8.96,35.09,,,,,,,,,,,,,,,,,
590,8.9,35.09,,,,,,,,,,,,,,,,,
592,8.7,35.06,,,,,,,,,,,,,,,,,
594,8.67,35.06,,,,,,,,,,,,,,,,,
596,8.89,35.08,,,,,,,,,,,,,,,,,
598,8.64,35.05,,,,,,,,,,,,,,,,,
600,8.85,35.08,,,,,,,,,,,,,,,,,
601,8.82,35.08,,,,,,,,,,,,,,,,,
602,8.59,35.05,,,,,,,,,,,,,,,,,
604,8.57,35.04,,,,,,,,,,,,,,,,,
606,8.56,35.04,,,,,,,,,,,,,,,,,
607,8.55,35.04,,,,,,,,,,,,,,,,,
608,8.74,35.07,,,,,,,,,,,,,,,,,
610,8.5,35.04,,,,,,,,,,,,,,,,,
611,8.71,35.07,,,,,,,,,,,,,,,,,
612,8.46,35.03,,,,,,,,,,,,,,,,,
613,8.41,35.03,,,,,,,,,,,,,,,,,
615,8.35,35.02,,,,,,,,,,,,,,,,,
617,8.32,35.01,,,,,,,,,,,,,,,,,
619,8.33,35.02,,,,,,,,,,,,,,,,,
621,8.31,35.02,,,,,,,,,,,,,,,,,
623,8.59,35.05,,,,,,,,,,,,,,,,,
625,8.29,35.02,,,,,,,,,,,,,,,,,
627,8.53,35.05,,,,,,,,,,,,,,,,,
629,8.28,35.02,,,,,,,,,,,,,,,,,
631,8.27,35.02,,,,,,,,,,,,,,,,,
633,8.43,35.03,,,,,,,,,,,,,,,,,
635,8.42,35.03,,,,,,,,,,,,,,,,,
637,8.24,35.02,,,,,,,,,,,,,,,,,
639,8.22,35.01,,,,,,,,,,,,,,,,,
641,8.2,35.01,,,,,,,,,,,,,,,,,
643,8.18,35.01,,,,,,,,,,,,,,,,,
645,8.37,35.03,,,,,,,,,,,,,,,,,
647,8.35,35.03,,,,,,,,,,,,,,,,,
649,8.14,35.01,,,,,,,,,,,,,,,,,
651,8.11,35,,,,,,,,,,,,,,,,,
653,8.1,35,,,,,,,,,,,,,,,,,
655,8.08,35,,,,,,,,,,,,,,,,,
657,8.2,35.01,,,,,,,,,,,,,,,,,
659,8.05,35,,,,,,,,,,,,,,,,,
661,8.03,35,,,,,,,,,,,,,,,,,
663,8.02,34.99,,,,,,,,,,,,,,,,,
665,8.01,34.99,,,,,,,,,,,,,,,,,
667,8.09,35,,,,,,,,,,,,,,,,,
669,7.97,34.99,,,,,,,,,,,,,,,,,
671,7.96,34.99,,,,,,,,,,,,,,,,,
673,7.95,34.99,,,,,,,,,,,,,,,,,
675,7.93,34.99,,,,,,,,,,,,,,,,,
677,7.93,34.99,,,,,,,,,,,,,,,,,
679,7.92,34.99,,,,,,,,,,,,,,,,,
681,7.92,34.98,,,,,,,,,,,,,,,,,
683,7.86,34.98,,,,,,,,,,,,,,,,,
685,7.82,34.98,,,,,,,,,,,,,,,,,
687,7.8,34.97,,,,,,,,,,,,,,,,,
689,7.78,34.97,,,,,,,,,,,,,,,,,
691,7.75,34.97,,,,,,,,,,,,,,,,,
693,7.72,34.96,,,,,,,,,,,,,,,,,
695,7.71,34.96,,,,,,,,,,,,,,,,,
697,7.71,34.96,,,,,,,,,,,,,,,,,
699,7.79,34.97,,,,,,,,,,,,,,,,,
701,7.71,34.97,,,,,,,,,,,,,,,,,
703,7.78,34.97,,,,,,,,,,,,,,,,,
704,7.77,34.97,,,,,,,,,,,,,,,,,
705,7.65,34.96,,,,,,,,,,,,,,,,,
707,7.64,34.96,,,,,,,,,,,,,,,,,
708,7.68,34.97,,,,,,,,,,,,,,,,,
709,7.62,34.96,,,,,,,,,,,,,,,,,
711,7.61,34.96,,,,,,,,,,,,,,,,,
713,7.59,34.96,,,,,,,,,,,,,,,,,
715,7.66,34.96,,,,,,,,,,,,,,,,,
717,7.56,34.95,,,,,,,,,,,,,,,,,
719,7.55,34.95,,,,,,,,,,,,,,,,,
720,7.59,34.95,,,,,,,,,,,,,,,,,
721,7.53,34.95,,,,,,,,,,,,,,,,,
722,7.53,34.95,,,,,,,,,,,,,,,,,
724,7.58,34.95,,,,,,,,,,,,,,,,,
725,7.52,34.95,,,,,,,,,,,,,,,,,
726,7.5,34.95,,,,,,,,,,,,,,,,,
728,7.47,34.94,,,,,,,,,,,,,,,,,
730,7.45,34.94,,,,,,,,,,,,,,,,,
732,7.47,34.95,,,,,,,,,,,,,,,,,
734,7.56,34.95,,,,,,,,,,,,,,,,,
736,7.42,34.94,,,,,,,,,,,,,,,,,
738,7.39,34.94,,,,,,,,,,,,,,,,,
740,7.49,34.95,,,,,,,,,,,,,,,,,
742,7.47,34.95,,,,,,,,,,,,,,,,,
744,7.45,34.95,,,,,,,,,,,,,,,,,
746,7.33,34.93,,,,,,,,,,,,,,,,,
748,7.31,34.93,,,,,,,,,,,,,,,,,
750,7.29,34.92,,,,,,,,,,,,,,,,,
752,7.37,34.94,,,,,,,,,,,,,,,,,
754,7.34,34.93,,,,,,,,,,,,,,,,,
756,7.28,34.93,,,,,,,,,,,,,,,,,
758,7.26,34.93,,,,,,,,,,,,,,,,,
760,7.23,34.92,,,,,,,,,,,,,,,,,
762,7.2,34.92,,,,,,,,,,,,,,,,,
764,7.22,34.93,,,,,,,,,,,,,,,,,
766,7.2,34.92,,,,,,,,,,,,,,,,,
768,7.19,34.92,,,,,,,,,,,,,,,,,
770,7.17,34.92,,,,,,,,,,,,,,,,,
772,7.23,34.93,,,,,,,,,,,,,,,,,
774,7.15,34.92,,,,,,,,,,,,,,,,,
776,7.12,34.92,,,,,,,,,,,,,,,,,
778,7.15,34.92,,,,,,,,,,,,,,,,,
780,7.13,34.92,,,,,,,,,,,,,,,,,
782,7.06,34.91,,,,,,,,,,,,,,,,,
784,7.05,34.91,,,,,,,,,,,,,,,,,
786,7.04,34.91,,,,,,,,,,,,,,,,,
788,7,34.9,,,,,,,,,,,,,,,,,
790,6.93,34.9,,,,,,,,,,,,,,,,,
792,7.08,34.92,,,,,,,,,,,,,,,,,
794,7.06,34.92,,,,,,,,,,,,,,,,,
796,7.04,34.92,,,,,,,,,,,,,,,,,
798,6.86,34.89,,,,,,,,,,,,,,,,,
800,6.85,34.89,,,,,,,,,,,,,,,,,
802,6.87,34.89,,,,,,,,,,,,,,,,,
804,6.83,34.89,,,,,,,,,,,,,,,,,
806,6.83,34.89,,,,,,,,,,,,,,,,,
808,6.81,34.89,,,,,,,,,,,,,,,,,
810,6.78,34.88,,,,,,,,,,,,,,,,,
812,6.77,34.89,,,,,,,,,,,,,,,,,
814,6.76,34.89,,,,,,,,,,,,,,,,,
815,6.75,34.88,,,,,,,,,,,,,,,,,
816,6.75,34.88,,,,,,,,,,,,,,,,,
817,6.74,34.88,,,,,,,,,,,,,,,,,
818,6.73,34.89,,,,,,,,,,,,,,,,,
819,6.79,34.89,,,,,,,,,,,,,,,,,
820,6.72,34.88,,,,,,,,,,,,,,,,,
821,6.7,34.88,,,,,,,,,,,,,,,,,
822,6.78,34.89,,,,,,,,,,,,,,,,,
823,6.69,34.88,,,,,,,,,,,,,,,,,
824,6.71,34.88,,,,,,,,,,,,,,,,,
825,6.77,34.89,,,,,,,,,,,,,,,,,
826,6.69,34.88,,,,,,,,,,,,,,,,,
827,6.69,34.88,,,,,,,,,,,,,,,,,
829,6.69,34.88,,,,,,,,,,,,,,,,,
831,6.68,34.89,,,,,,,,,,,,,,,,,
833,6.68,34.88,,,,,,,,,,,,,,,,,
835,6.68,34.88,,,,,,,,,,,,,,,,,
837,6.67,34.88,,,,,,,,,,,,,,,,,
839,6.66,34.88,,,,,,,,,,,,,,,,,
841,6.65,34.88,,,,,,,,,,,,,,,,,
843,6.6,34.89,,,,,,,,,,,,,,,,,
845,6.65,34.89,,,,,,,,,,,,,,,,,
847,6.66,34.89,,,,,,,,,,,,,,,,,
