Depth,Temp,Sal,,,,,,,,,,Depth,Temp,Sal,,,,Depth,Temperature,Sal
378,11.74,35.43,,,,,,,,,,378,11.74,35.95,,,,378,8.74,35.43
379,11.42,35.39,,,,,,,,,,379,11.42,35.91,,,,379,8.42,35.39
380,11.72,35.43,,,,,,,,,,380,11.72,35.95,,,,380,8.72,35.43
381,11.37,35.38,,,,,,,,,,381,11.37,35.9,,,,381,8.37,35.38
382,11.69,35.42,,,,,,,,,,382,11.69,35.94,,,,382,8.69,35.42
383,11.46,35.4,,,,,,,,,,383,11.46,35.92,,,,383,8.46,35.4
384,11.67,35.42,,,,,,,,,,384,11.67,35.94,,,,384,8.67,35.42
385,11.41,35.39,,,,,,,,,,385,11.41,35.91,,,,385,8.41,35.39
387,11.29,35.37,,,,,,,,,,387,11.29,35.89,,,,387,8.29,35.37
389,11.34,35.38,,,,,,,,,,389,11.34,35.9,,,,389,8.34,35.38
391,11.59,35.41,,,,,,,,,,391,11.59,35.93,,,,391,8.59,35.41
392,11.25,35.37,,,,,,,,,,392,11.25,35.89,,,,392,8.25,35.37
393,11.2,35.36,,,,,,,,,,393,11.2,35.88,,,,393,8.2,35.36
395,11.17,35.36,,,,,,,,,,395,11.17,35.88,,,,395,8.17,35.36
397,11.16,35.35,,,,,,,,,,397,11.16,35.87,,,,397,8.16,35.35
399,11.14,35.35,,,,,,,,,,399,11.14,35.87,,,,399,8.14,35.35
401,11.14,35.35,,,,,,,,,,401,11.14,35.87,,,,401,8.14,35.35
403,11.13,35.35,,,,,,,,,,403,11.13,35.87,,,,403,8.13,35.35
405,11.07,35.34,,,,,,,,,,405,11.07,35.86,,,,405,8.07,35.34
407,11.05,35.34,,,,,,,,,,407,11.05,35.86,,,,407,8.05,35.34
409,11.01,35.33,,,,,,,,,,409,11.01,35.85,,,,409,8.01,35.33
411,10.97,35.33,,,,,,,,,,411,10.97,35.85,,,,411,7.97,35.33
413,11.2,35.36,,,,,,,,,,413,11.2,35.88,,,,413,8.2,35.36
415,10.88,35.31,,,,,,,,,,415,10.88,35.83,,,,415,7.88,35.31
417,10.85,35.31,,,,,,,,,,417,10.85,35.83,,,,417,7.85,35.31
419,10.77,35.3,,,,,,,,,,419,10.77,35.82,,,,419,7.77,35.3
421,10.87,35.32,,,,,,,,,,421,10.87,35.84,,,,421,7.87,35.32
423,10.97,35.32,,,,,,,,,,423,10.97,35.84,,,,423,7.97,35.32
425,10.61,35.27,,,,,,,,,,425,10.61,35.79,,,,425,7.61,35.27
427,10.57,35.27,,,,,,,,,,427,10.57,35.79,,,,427,7.57,35.27
429,10.9,35.32,,,,,,,,,,429,10.9,35.84,,,,429,7.9,35.32
431,10.84,35.31,,,,,,,,,,431,10.84,35.83,,,,431,7.84,35.31
433,10.5,35.26,,,,,,,,,,433,10.5,35.78,,,,433,7.5,35.26
435,10.76,35.3,,,,,,,,,,435,10.76,35.82,,,,435,7.76,35.3
437,10.42,35.25,,,,,,,,,,437,10.42,35.77,,,,437,7.42,35.25
439,10.4,35.24,,,,,,,,,,439,10.4,35.76,,,,439,7.4,35.24
441,10.39,35.24,,,,,,,,,,441,10.39,35.76,,,,441,7.39,35.24
443,10.67,35.28,,,,,,,,,,443,10.67,35.8,,,,443,7.67,35.28
445,10.6,35.28,,,,,,,,,,445,10.6,35.8,,,,445,7.6,35.28
447,10.58,35.28,,,,,,,,,,447,10.58,35.8,,,,447,7.58,35.28
449,10.57,35.28,,,,,,,,,,449,10.57,35.8,,,,449,7.57,35.28
451,10.54,35.27,,,,,,,,,,451,10.54,35.79,,,,451,7.54,35.27
453,10.25,35.23,,,,,,,,,,453,10.25,35.75,,,,453,7.25,35.23
455,10.23,35.22,,,,,,,,,,455,10.23,35.74,,,,455,7.23,35.22
457,10.22,35.22,,,,,,,,,,457,10.22,35.74,,,,457,7.22,35.22
459,10.23,35.22,,,,,,,,,,459,10.23,35.74,,,,459,7.23,35.22
461,10.24,35.23,,,,,,,,,,461,10.24,35.75,,,,461,7.24,35.23
463,10.26,35.23,,,,,,,,,,463,10.26,35.75,,,,463,7.26,35.23
465,10.21,35.23,,,,,,,,,,465,10.21,35.75,,,,465,7.21,35.23
467,10.31,35.25,,,,,,,,,,467,10.31,35.77,,,,467,7.31,35.25
469,10.12,35.21,,,,,,,,,,469,10.12,35.73,,,,469,7.12,35.21
471,10.09,35.21,,,,,,,,,,471,10.09,35.73,,,,471,7.09,35.21
473,10.04,35.21,,,,,,,,,,473,10.04,35.73,,,,473,7.04,35.21
475,10.02,35.2,,,,,,,,,,475,10.02,35.72,,,,475,7.02,35.2
477,10.13,35.22,,,,,,,,,,477,10.13,35.74,,,,477,7.13,35.22
479,10,35.2,,,,,,,,,,479,10,35.72,,,,479,7,35.2
